 site acronym Lat Lon status
101 "Cachoeira Paulista/SP" CHPI -22.67 -45.02 atualizadas
0 "Campo Grande - EMBRAPA/MS" MSGR   novas
1 "Sao Paulo - USP Leste" EACH -23.49 -46.5 novas
2 Maracaju MSMJ -21.62 -55.16 novas
3 "São Leopoldo/RS" RSSL -29.75 -51.15 novas
4 Patos/PB PBPT -7.03 -37.28 novas
5 Carceres MTCA -20.13 -50.51 novas
6 Lavras/MG MGLA -21.24 -45.0 novas
7 Itiquira MTIT -17.2 -54.14 novas
8 "Nova Mutum" MTNM -13.83 -56.08 novas
9 "Parintins - UFAM/AM" AMPT   novas
10 "Tabatinga - IFAM/AM" AMTG   novas
11 "SESC Pantanal" MTSC -16.51 -56.38 novas
12 "Coari - IBGE/AM" AMCR   novas
13 "Paulo Afonso/BA" BAPA -9.4 -38.23 novas
14 "Nova Venecia/ES" ESNV -18.71 -40.4 novas
15 "Macapá - DTCEA/AP" APMA   novas
16 "Juiz de Fora/MG" MGJF -21.76 -43.35 novas
17 "Teofilo Otoni/MG" MGTO -17.86 -41.51 novas
18 Maceió ALMA -9.65 -35.73 novas
19 "Bela Vista/MS" MSBL -22.11 -56.53 novas
20 Jardim/MS MSJR -21.48 -56.15 novas
21 "Corumba - UFMS/MS" CORU -19.0 -57.66 novas
22 "Novo Mundo/MS" MSMN -23.94 -54.29 novas
23 "Porto Murtinho/MS" MSPM -21.7 -57.88 novas
24 Barcelos/AM AMBC -0.97 -62.93 novas
25 "Recife - IFPE/PE" PERC -8.06 -34.95 novas
26 Umuarama/PR PRUR -23.76 -53.31 novas
27 Humaitá/AM AMHA -7.51 -63.02 novas
28 Caçador SCCA -26.78 -51.01 novas
29 "Ourinhos - UNESP" SPOR -23.0 -49.84 novas
30 Manaus/AM AMUA -3.13 -59.98 novas
31 "Pontes e Lacerda" MTLA -15.23 -59.33 novas
32 "Primavera do Leste" MTLE -15.56 -54.3 novas
33 "Campinas - UNICAMP/SP" SPC1 -22.82 -47.06 novas
34 Naviraí MSNA -23.06 -54.2 novas
35 fernandópolis/SP SPFE -20.28 -50.25 novas
36 "Santana - Docas/AP" APS1   novas
37 "Bom Jesus da Lapa - IF Baiano/BA" BABJ   novas
38 Aquidauana/MS MSAQ -20.47 -55.78 novas
39 "Nova Xavantina/MT" MTNX -14.68 -52.35 novas
40 Maués/AM AMMU -3.38 -57.72 novas
41 Tabatinga/AM AMTA -4.23 -69.93 novas
42 Itaberaba/BA BAIT -12.52 -40.31 novas
