N¶ø;Codigo Nacional;Codigo OACI;Nombre;Latitud;Longitud;Altitud (Mts);Altura Minima (Mts);Propietario;Fecha Creacion;Tipo;Clasificacion;Zona Geografica;Region;Emite METAR;Emite SYNOP;Paisaje;Operador
26;430002;SCFT;Futaleufu Ad.;-43.18889;-71.85222;347;1,500;DMC;01/09/53;Mixta;Sinoptica Aeronautica;Valle;De Los Lagos;Si;Si;Valle, con zona urbana a 1,2 Km al este, cerro al oeste a 7 Km, cerro al sur a 150 mtrs.;Carlos Parra Jaque (Anexos 6287/6288)
27;430004;SCAP;Alto Palena Ad.;-43.61167;-71.80139;256;1,500;DMC;01/01/55;Mixta;Sinoptica Aeronautica;PreCordillera;De Los Lagos;Si;Si;Valle con abundante vegetacion, rodeado de cerros, el mas alto 1.200 mts. a 5 km.al NE. ;Maria Eugenia Delgado (Anexo 6286)
28;430009;SCMK;Melinka Ad.;-43.89778;-73.73944;8;1,500;DMC;01/01/09;Automatica;Aeronautica;Litoral;Aisen del Gral. Carlos Ibanez del Campo;Si;No;Archipielago.;Funcionario D.G.A.C.
29;450001;SCAS;Puerto Aysen Ad.;-45.39944;-72.67722;11;1,500;DMC;01/02/31;Mixta;Sinoptica Aeronautica;Valle;Aisen del Gral. Carlos Ibanez del Campo;Si;Si;Ubicado en el valle, con cerro nevado a 1.6 Km de 2000 mtrs altura.;Miguel Arce (Anexo 2884)
30;450004;SCCY;Teniente Vidal, Coyhaique Ad.;-45.59083;-72.10222;299;1,500;DMC;01/01/43;Mixta;Sinoptica Aeronautica;Valle;Aisen del Gral. Carlos Ibanez del Campo;Si;Si;Valle rodeado de cerros, cerro a 3 km al sur, cerro a 800 mtrs al Norte, cerro a 8 km al NNE;Priscilla Duarte Farias (Anexos 2869/6282)
31;450005;SCBA;Balmaceda Ad.;-45.91833;-71.67778;517;3,425;DMC;01/12/50;Mixta;Sinoptica Aeronautica;Valle;Aisen del Gral. Carlos Ibanez del Campo;Si;Si;Planicie, poblacion urbana a 1.800 mtrs al nw. ;Fernando Oyarce Avalos (Anexos 5623/5624)
32;460001;SCCC;Chile Chico Ad.;-46.585;-71.68528;311;1,500;DMC;01/01/52;Mixta;Sinoptica Aeronautica;Valle;Aisen del Gral. Carlos Ibanez del Campo;Si;No;Valle con cerro al SO a 1 Km, cerrro al SE a 2 Km.;Juan Antinanco Pairo (Anexo 2875)
33;470001;SCHR;Lord Cochrane Ad.;-47.24389;-72.5825;209;1,500;DMC;01/07/69;Mixta;Sinoptica Aeronautica;Valle;Aisen del Gral. Carlos Ibanez del Campo;Si;Si;Planicie, cordon Esmeralda al NW cerro alto a 2000 mts., cerro Tamango a 1700 mts al NW a 7 Kmt ;Carlos Quintana Valenzuela (Anexo 2876)
34;510005;SCNT;Teniente Gallardo, Puerto Natales Ad.;-51.66722;-72.52889;69;1,860;DMC;01/10/83;Mixta;Aeronautica;Valle;Magallanes y de la Antartica Chilena;Si;Si;Planicie con cerros a 20 Km al W;Patricio Yanez Cabello
35;520006;SCCI;Carlos Ibanez, Punta Arenas Ap.;-53.00167;-70.83861;36;1,500;DMC;01/01/71;Mixta;Sinoptica Aeronautica;Litoral;Magallanes y de la Antartica Chilena;Si;Si;Planicie con cerros distantes al SW a 8 km;Oscar Munoz Banderas
36;530005;SCFM;Fuentes Martinez, Porvenir Ad.;-53.25361;-70.32611;25;1,500;DMC;01/04/85;Mixta;Aeronautica;Litoral;Magallanes y de la Antartica Chilena;Si;Si;Planicie con cerros a 20 Km al E;Jose Bacigalupo Huerta
37;550001;SCGZ;Guardiamarina Zanartu, Pto Williams Ad.;-54.93167;-67.61556;12;2,100;DMC;01/04/59;Mixta;Sinoptica Aeronautica;Litoral;Magallanes y de la Antartica Chilena;Si;Si;Planicie con cerros a 5 Km al SW y NW;Leonardo Gaete Aburto
38;950001;SCRM;C.M.A. Eduardo Frei Montalva, Antartica ;-62.19194;-58.97972;45;1,800;DMC;01/04/69;Mixta;Sinoptica Aeronautica;Litoral;Magallanes y de la Antartica Chilena;Si;Si;Planicie Costera rodeada de cerros al NE a 1 Km. altura 77 mts. al NW a 0.7 km. 52 mts.;Sr. Patricio Silva V.
